site_id,outer_fold,strategy,K,selected_ex,relative_frobenius_error_fullrange,relative_frobenius_error_interpdomain,nrmse_energy_fullrange,spectral_cosine_fullrange,spectral_cosine_interpdomain,n_eval_fullrange,n_eval_interpdomain,rho_structure
S14,13,Uniform,4,300;435;565;700,0.31931489264701846,0.31931489264701846,0.3193148926470185,0.9513245575699193,0.9513245575699193,4142,4142,0.9786535303776684
S14,13,Uniform,6,300;380;460;540;620;700,0.2853299547679544,0.2853299547679544,0.2853299547679544,0.9592694263475157,0.9592694263475157,4142,4142,0.9896004378763
S14,13,Uniform,8,300;355;415;470;530;585;645;700,0.23754971007943187,0.23754971007943187,0.23754971007943185,0.9726133489166786,0.9726133489166786,4142,4142,0.9874110563765736
S15,14,NAIG,2,365;425,0.17973215202043769,0.16956828958176268,0.17973215202043769,0.9838874143576395,0.9862891925366919,4017,875,0.9157088122605364
S15,14,NAIG,3,365;425;620,0.17659546416781335,0.17005843326085113,0.17659546416781335,0.9846431328307992,0.9855490662452018,4017,2712,0.9277504105090312
S15,14,NAIG,4,365;425;620;545,0.17593971014956916,0.1682314722167838,0.1759397101495692,0.9846214679276794,0.9857633763643199,4017,2712,0.9376026272577996
S15,14,NAIG,6,365;425;620;545;475;345,0.16690624172573332,0.1598091151018238,0.16690624172573332,0.9865450761265575,0.9873286869344907,4120,3031,0.963327859879584
S15,14,NAIG,8,365;425;620;545;475;345;505;305,0.15601833066842674,0.15329543367180662,0.15601833066842674,0.988001761816122,0.9883430387369857,4139,3672,0.9726327312534212
S15,14,Uniform,2,300;700,0.17669130038609385,0.17669130038609385,0.17669130038609387,0.9842665949039989,0.9842665949039989,3782,3782,0.8773946360153257
S15,14,Uniform,3,300;500;700,0.16053334125164004,0.16053334125164004,0.16053334125164004,0.9880811465646064,0.9880811465646064,3885,3885,0.9184455391351944
S15,14,Uniform,4,300;435;565;700,0.16424413270260035,0.16424413270260035,0.16424413270260038,0.9865758515554546,0.9865758515554546,4142,4142,0.9666119321291736
S15,14,Uniform,6,300;380;460;540;620;700,0.1563736326309432,0.1563736326309432,0.1563736326309432,0.987702486568628,0.987702486568628,4142,4142,0.9720853858784896
S15,14,Uniform,8,300;355;415;470;530;585;645;700,0.14947804368828174,0.14947804368828174,0.14947804368828174,0.9888013285370817,0.9888013285370817,4142,4142,0.9928845101258896
S16,15,NAIG,2,365;425,0.23392504171128084,0.15820494966319493,0.23392504171128084,0.9734559453171963,0.9883830077137736,4017,875,0.9534756431308156
S16,15,NAIG,3,365;425;480,0.22324259983229464,0.21277269999794823,0.22324259983229464,0.9751242983313262,0.9797823437375556,4017,1548,0.93431855500821
S16,15,NAIG,4,365;425;480;620,0.21923782591378058,0.2037551163355815,0.21923782591378058,0.9759846076710876,0.9806265853014344,4017,2712,0.9211822660098524
