site_id,configuration_id,relative_frobenius_error,spectral_cosine,rho_structure,quadrant
S21,NAIG-fold-specific,0.705752877407163,0.7569746694220071,0.9277504105090312,D_low_rho_high_error
S21,NAIG-fold-specific,0.6848498063105026,0.7705168024217488,0.9567597153804052,B_high_rho_high_error
S21,NAIG-fold-specific,0.6850348476261097,0.7697872047790265,0.9430760810071156,D_low_rho_high_error
S21,NAIG-fold-specific,0.6584072730114363,0.7988341802038599,0.9277504105090312,D_low_rho_high_error
S21,NAIG-fold-specific,0.6334682557787704,0.8209399745268212,0.942528735632184,D_low_rho_high_error
S22,NAIG-fold-specific,0.5834917585256404,0.8343705383332308,0.9392446633825944,D_low_rho_high_error
S22,NAIG-fold-specific,0.5610275765511509,0.8593257286383392,0.9512862616310894,D_low_rho_high_error
S22,NAIG-fold-specific,0.530947916368783,0.8663943090928538,0.9501915708812262,D_low_rho_high_error
S22,NAIG-fold-specific,0.524098261395611,0.8714549280583114,0.9518336070060208,D_low_rho_high_error
S22,NAIG-fold-specific,0.5959221833485138,0.808018659262276,0.952928297755884,D_low_rho_high_error
S23,NAIG-fold-specific,0.2976538221866516,0.9559735654074422,0.794745484400657,D_low_rho_high_error
S23,NAIG-fold-specific,0.3003173944670355,0.9563948996467442,0.8631636562671046,D_low_rho_high_error
S23,NAIG-fold-specific,0.2995580076321036,0.9555739544234508,0.8675424192665572,D_low_rho_high_error
S23,NAIG-fold-specific,0.2920864792733775,0.9583510899915892,0.9649698960043788,B_high_rho_high_error
S23,NAIG-fold-specific,0.2921722684907837,0.9573301177063932,0.970990695128626,B_high_rho_high_error
S24,NAIG-fold-specific,0.2923005490473331,0.9578439393650388,0.8702791461412153,D_low_rho_high_error
S24,NAIG-fold-specific,0.2916590811751421,0.9584681640154712,0.9151614668856048,D_low_rho_high_error
S24,NAIG-fold-specific,0.2886297259689968,0.9585269089740464,0.9173508483853312,D_low_rho_high_error
S24,NAIG-fold-specific,0.3129962343347329,0.9522586669359164,0.9507389162561576,D_low_rho_high_error
S24,NAIG-fold-specific,0.3518446595596086,0.936510027735908,0.9759168035030104,B_high_rho_high_error
S25,NAIG-fold-specific,0.2178660845307675,0.9788665570925438,0.9540229885057472,C_low_rho_low_error
S25,NAIG-fold-specific,0.209281582183969,0.9795661885950808,0.9540229885057472,C_low_rho_low_error
S25,NAIG-fold-specific,0.2075317124760453,0.979782486523331,0.9578544061302684,A_high_rho_low_error
S25,NAIG-fold-specific,0.2068833250287943,0.979964226386082,0.9507389162561576,C_low_rho_low_error
S25,NAIG-fold-specific,0.1864953790909215,0.9829942386158024,0.9507389162561576,C_low_rho_low_error
S26,NAIG-fold-specific,0.2452138301323595,0.9701265846523148,0.8232074438970991,D_low_rho_high_error
S26,NAIG-fold-specific,0.2463179240770203,0.9697775117318898,0.8494800218938151,D_low_rho_high_error
S26,NAIG-fold-specific,0.2456992437418986,0.9698954468220756,0.8949096880131364,D_low_rho_high_error
S26,NAIG-fold-specific,0.2611907982533731,0.9681656653258284,0.9386973180076628,D_low_rho_high_error
S26,NAIG-fold-specific,0.2625535974980112,0.9649808584146612,0.9512862616310892,D_low_rho_high_error
S27,NAIG-fold-specific,0.24044831225049,0.9721536766340128,0.950191570881226,C_low_rho_low_error
S27,NAIG-fold-specific,0.2384446847244976,0.9726175677210837,0.9578544061302684,A_high_rho_low_error
S27,NAIG-fold-specific,0.2445290039657388,0.9717413838756668,0.956759715380405,B_high_rho_high_error
S27,NAIG-fold-specific,0.2362743794849819,0.9727827874052392,0.9315818281335524,C_low_rho_low_error
