site_id,strategy,K,selected_ex,selected_ex_span_nm,lower_edge_gap_nm,upper_edge_gap_nm,relative_frobenius_error_fullrange,relative_frobenius_error_interpdomain,spectral_cosine_fullrange,reconstruction_supported_fraction_fullrange,unsupported_fraction_fullrange
S05,Uniform,8,300;355;415;470;530;585;645;700,400,0,0,0.1719851548689386,0.1719851548689386,0.9860141034011202,0.9983128464690287,0.0016871535309713184
S06,NAIG,2,365;425,60,65,275,0.6101482217164914,0.4871653031888763,0.8060942325072347,0.9681851048445409,0.03181489515545915
S06,NAIG,3,365;425;610,245,65,90,0.609841765940359,0.5344455345314476,0.8053492256866607,0.9681851048445409,0.03181489515545915
S06,NAIG,4,365;425;610;545,245,65,90,0.6110132215113956,0.5362467147910394,0.8056072242732015,0.9681851048445409,0.03181489515545915
S06,NAIG,6,365;425;610;545;505;450,245,65,90,0.5675364043500734,0.4707690814090536,0.8423456801144761,0.9681851048445409,0.03181489515545915
S06,NAIG,8,365;425;610;545;505;450;305;695,390,5,5,0.6521715687548343,0.6458428481248036,0.7623170228204911,0.997589780670041,0.002410219329959026
S06,Uniform,2,300;700,400,0,0,0.6458905269782164,0.6458905269782164,0.7832669019475084,0.9115449505905038,0.08845504940949626
S06,Uniform,3,300;500;700,400,0,0,0.6383526079779658,0.6383526079779658,0.7820889947878827,0.9363702096890817,0.0636297903109183
S06,Uniform,4,300;435;565;700,400,0,0,0.627489671410028,0.627489671410028,0.7789630282734716,0.9983128464690287,0.0016871535309713184
S06,Uniform,6,300;380;460;540;620;700,400,0,0,0.5648078342247765,0.5648078342247765,0.8285099263059743,0.9983128464690287,0.0016871535309713184
S06,Uniform,8,300;355;415;470;530;585;645;700,400,0,0,0.5449812609236478,0.5449812609236478,0.8385035477711716,0.9983128464690287,0.0016871535309713184
S07,NAIG,2,365;425,60,65,275,0.2716464068492699,0.21296391325407035,0.9657966596222051,0.9681851048445409,0.03181489515545915
S07,NAIG,3,365;425;480,115,65,220,0.2730020780733993,0.2753704641920684,0.964826273426123,0.9681851048445409,0.03181489515545915
S07,NAIG,4,365;425;480;575,210,65,125,0.2681816454573231,0.28230307653718034,0.9655673217000074,0.9681851048445409,0.03181489515545915
S07,NAIG,6,365;425;480;575;510;305,270,5,125,0.3213498276124626,0.3171120554469434,0.9507029540803884,0.997589780670041,0.002410219329959026
S07,NAIG,8,365;425;480;575;510;305;695;625,390,5,5,0.30701958809734203,0.30490971990805715,0.9555505177863267,0.997589780670041,0.002410219329959026
S07,Uniform,2,300;700,400,0,0,0.32627734940041875,0.32627734940041875,0.9551992488199629,0.9115449505905038,0.08845504940949626
S07,Uniform,3,300;500;700,400,0,0,0.31251966721072727,0.31251966721072727,0.9622107253518082,0.9363702096890817,0.0636297903109183
S07,Uniform,4,300;435;565;700,400,0,0,0.30866179417579576,0.30866179417579576,0.9604565923481378,0.9983128464690287,0.0016871535309713184
S07,Uniform,6,300;380;460;540;620;700,400,0,0,0.2739200048154785,0.2739200048154785,0.9638378383861194,0.9983128464690287,0.0016871535309713184
S07,Uniform,8,300;355;415;470;530;585;645;700,400,0,0,0.24914698634866095,0.24914698634866095,0.9685776767483136,0.9983128464690287,0.0016871535309713184
S08,NAIG,2,365;425,60,65,275,0.18468530061766633,0.14638745826295335,0.9848261357936363,0.9681851048445409,0.03181489515545915
S08,NAIG,3,365;425;480,115,65,220,0.1844519370530696,0.15554536415889214,0.9834198625513263,0.9681851048445409,0.03181489515545915
S08,NAIG,4,365;425;480;620,255,65,80,0.18119926900548836,0.16187153126678328,0.9840659129365743,0.9681851048445409,0.03181489515545915
S08,NAIG,6,365;425;480;620;545;330,290,30,80,0.18836443774155698,0.17776477095820137,0.9830624659415346,0.9893950349481803,0.010604965051819716
S08,NAIG,8,365;425;480;620;545;330;505;400,290,30,80,0.19368103040306067,0.18507142947740682,0.9833968487119278,0.9893950349481803,0.010604965051819716
S08,Uniform,2,300;700,400,0,0,0.188186769187737,0.188186769187737,0.982188174072459,0.9115449505905038,0.08845504940949626
S08,Uniform,3,300;500;700,400,0,0,0.17322150653371715,0.17322150653371715,0.9854296411750552,0.9363702096890817,0.0636297903109183
S08,Uniform,4,300;435;565;700,400,0,0,0.17137910114582772,0.17137910114582772,0.9857878687741276,0.9983128464690287,0.0016871535309713184
S08,Uniform,6,300;380;460;540;620;700,400,0,0,0.16275798215681425,0.16275798215681425,0.9867495280496879,0.9983128464690287,0.0016871535309713184
S08,Uniform,8,300;355;415;470;530;585;645;700,400,0,0,0.1574840091159254,0.1574840091159254,0.9876273484281937,0.9983128464690287,0.0016871535309713184
S09,NAIG,2,365;425,60,65,275,0.18420697506756806,0.1647013018283455,0.9841336245309243,0.9681851048445409,0.03181489515545915
S09,NAIG,3,365;425;480,115,65,220,0.1711728366011811,0.1782984456841316,0.9856349540917121,0.9681851048445409,0.03181489515545915
S09,NAIG,4,365;425;480;620,255,65,80,0.17198092513376753,0.1745910683930663,0.9855999970754242,0.9681851048445409,0.03181489515545915
S09,NAIG,6,365;425;480;620;545;330,290,30,80,0.2439253294298589,0.2614266991156874,0.9755328231054942,0.9893950349481803,0.010604965051819716
S09,NAIG,8,365;425;480;620;545;330;505;305,315,5,80,0.23172333201285647,0.23430098000569768,0.9751073251394629,0.9983128464690287,0.0016871535309713184
S09,Uniform,2,300;700,400,0,0,0.2247111066133422,0.2247111066133422,0.9758975425570943,0.9115449505905038,0.08845504940949626
S09,Uniform,3,300;500;700,400,0,0,0.1992801398938974,0.1992801398938974,0.9799465123953962,0.9363702096890817,0.0636297903109183
