site_id,strategy,K,selected_ex,rho_structure,relative_frobenius_error_fullrange,spectral_cosine_fullrange
S23,NAIG,6,400;660;620;535;365;435,0.9649698960043788,0.2920864792733775,0.9583510899915892
S23,NAIG,8,400;660;620;535;365;435;695;505,0.970990695128626,0.2921722684907837,0.9573301177063932
S23,Uniform,2,300;700,0.7728516694033938,0.2543826308307444,0.968179106193197
S23,Uniform,3,300;500;700,0.912424740010947,0.2504417184024785,0.9717251609995224
S23,Uniform,4,300;435;565;700,0.9638752052545156,0.2486535552013371,0.9706384992859524
S23,Uniform,6,300;380;460;540;620;700,0.9605911330049262,0.2141423043052253,0.9768578586609172
S23,Uniform,8,300;355;415;470;530;585;645;700,0.983032293377121,0.1827350355808111,0.9833177891311556
S24,NAIG,2,365;425,0.8702791461412153,0.2923005490473331,0.9578439393650388
S24,NAIG,3,365;425;480,0.9151614668856048,0.2916590811751421,0.9584681640154712
S24,NAIG,4,365;425;480;620,0.9173508483853312,0.2886297259689968,0.9585269089740464
S24,NAIG,6,365;425;480;620;545;330,0.9507389162561576,0.3129962343347329,0.9522586669359164
S24,NAIG,8,365;425;480;620;545;330;505;305,0.9759168035030104,0.3518446595596086,0.936510027735908
S24,Uniform,2,300;700,0.8489326765188834,0.3301336904110206,0.9440117535998496
S24,Uniform,3,300;500;700,0.926655719759168,0.3087848663628696,0.9525798686480056
S24,Uniform,4,300;435;565;700,0.9589490968801314,0.3058499866893925,0.9527391164660464
S24,Uniform,6,300;380;460;540;620;700,0.9649698960043788,0.2778045953521917,0.9625195846062292
S24,Uniform,8,300;355;415;470;530;585;645;700,0.9797482211275312,0.2705126469652889,0.962722946888686
S25,NAIG,2,365;425,0.9540229885057472,0.2178660845307675,0.9788665570925438
S25,NAIG,3,365;425;480,0.9540229885057472,0.209281582183969,0.9795661885950808
S25,NAIG,4,365;425;480;620,0.9578544061302684,0.2075317124760453,0.979782486523331
S25,NAIG,6,365;425;480;620;660;695,0.9507389162561576,0.2068833250287943,0.979964226386082
