strategy,K,selected_ex,relative_frobenius_error_fullrange,spectral_cosine_fullrange,rho_structure
Uniform,4,300;435;565;700,0.2931076073380487,0.9680782169563976,0.976464148877942
Uniform,6,300;380;460;540;620;700,0.2502530517151722,0.9703184004318892,0.975369458128079
Uniform,8,300;355;415;470;530;585;645;700,0.2020586594557354,0.9795544376373588,0.9868637110016422
NAIG,2,365;545,0.705752877407163,0.7569746694220071,0.9277504105090312
NAIG,3,365;545;480,0.6848498063105026,0.7705168024217488,0.9567597153804052
NAIG,4,365;545;480;620,0.6850348476261097,0.7697872047790265,0.9430760810071156
NAIG,6,365;545;480;620;425;695,0.6584072730114363,0.7988341802038599,0.9277504105090312
NAIG,8,365;545;480;620;425;695;505;450,0.6334682557787704,0.8209399745268212,0.942528735632184
Uniform,2,300;700,0.662074646325469,0.7628724092048386,0.8177339901477834
Uniform,3,300;500;700,0.6437700972203241,0.7853883294414046,0.8927203065134102
Uniform,4,300;435;565;700,0.6398349795176516,0.7708309291668166,0.9792008757526
Uniform,6,300;380;460;540;620;700,0.5742383875419789,0.8212778860219655,0.9748221127531476
Uniform,8,300;355;415;470;530;585;645;700,0.5493426874227995,0.8358212260565356,0.9890530925013684
NAIG,2,365;695,0.5834917585256404,0.8343705383332308,0.9392446633825944
NAIG,3,365;695;425,0.5610275765511509,0.8593257286383392,0.9512862616310894
NAIG,4,365;695;425;545,0.530947916368783,0.8663943090928538,0.9501915708812262
NAIG,6,365;695;425;545;480;620,0.524098261395611,0.8714549280583114,0.9518336070060208
NAIG,8,365;695;425;545;480;620;315;335,0.5959221833485138,0.808018659262276,0.952928297755884
Uniform,2,300;700,0.6056297417454498,0.82326233878717,0.8489326765188835
Uniform,3,300;500;700,0.5839165807504517,0.8370572009223035,0.8949096880131364
Uniform,4,300;435;565;700,0.5588484497197718,0.8304269309603818,0.9605911330049264
Uniform,6,300;380;460;540;620;700,0.4786111274389454,0.8829578592295221,0.981937602627258
Uniform,8,300;355;415;470;530;585;645;700,0.4662092754318269,0.884720308256242,0.9906951286261632
NAIG,2,400;660,0.2976538221866516,0.9559735654074422,0.794745484400657
NAIG,3,400;660;620,0.3003173944670355,0.9563948996467442,0.8631636562671046
NAIG,4,400;660;620;535,0.2995580076321036,0.9555739544234508,0.8675424192665572
NAIG,6,400;660;620;535;365;435,0.2920864792733775,0.9583510899915892,0.9649698960043788
NAIG,8,400;660;620;535;365;435;695;505,0.2921722684907837,0.9573301177063932,0.970990695128626
Uniform,2,300;700,0.2543826308307444,0.968179106193197,0.7728516694033938
Uniform,3,300;500;700,0.2504417184024785,0.9717251609995224,0.912424740010947
Uniform,4,300;435;565;700,0.2486535552013371,0.9706384992859524,0.9638752052545156
Uniform,6,300;380;460;540;620;700,0.2141423043052253,0.9768578586609172,0.9605911330049262
Uniform,8,300;355;415;470;530;585;645;700,0.1827350355808111,0.9833177891311556,0.983032293377121
NAIG,2,365;425,0.2923005490473331,0.9578439393650388,0.8702791461412153
NAIG,3,365;425;480,0.2916590811751421,0.9584681640154712,0.9151614668856048
NAIG,4,365;425;480;620,0.2886297259689968,0.9585269089740464,0.9173508483853312
NAIG,6,365;425;480;620;545;330,0.3129962343347329,0.9522586669359164,0.9507389162561576
NAIG,8,365;425;480;620;545;330;505;305,0.3518446595596086,0.936510027735908,0.9759168035030104
Uniform,2,300;700,0.3301336904110206,0.9440117535998496,0.8489326765188834
Uniform,3,300;500;700,0.3087848663628696,0.9525798686480056,0.926655719759168
Uniform,4,300;435;565;700,0.3058499866893925,0.9527391164660464,0.9589490968801314
Uniform,6,300;380;460;540;620;700,0.2778045953521917,0.9625195846062292,0.9649698960043788
Uniform,8,300;355;415;470;530;585;645;700,0.2705126469652889,0.962722946888686,0.9797482211275312
NAIG,2,365;425,0.2178660845307675,0.9788665570925438,0.9540229885057472
NAIG,3,365;425;480,0.209281582183969,0.9795661885950808,0.9540229885057472
NAIG,4,365;425;480;620,0.2075317124760453,0.979782486523331,0.9578544061302684
NAIG,6,365;425;480;620;660;695,0.2068833250287943,0.979964226386082,0.9507389162561576
NAIG,8,365;425;480;620;660;695;450;505,0.1864953790909215,0.9829942386158024,0.9507389162561576
Uniform,2,300;700,0.2725650824699425,0.9650204758189124,0.7909140667761357
Uniform,3,300;500;700,0.2605058666424106,0.9736527795287035,0.9578544061302684
Uniform,4,300;435;565;700,0.2696569660732324,0.96848156200734,0.9469074986316364
Uniform,6,300;380;460;540;620;700,0.2329259984454041,0.9741388612397208,0.986863711001642
Uniform,8,300;355;415;470;530;585;645;700,0.1919923637146827,0.981545934333674,0.9950738916256158
NAIG,2,365;425,0.2452138301323595,0.9701265846523148,0.8232074438970991
NAIG,3,365;425;620,0.2463179240770203,0.9697775117318898,0.8494800218938151
NAIG,4,365;425;620;545,0.2456992437418986,0.9698954468220756,0.8949096880131364
NAIG,6,365;425;620;545;475;345,0.2611907982533731,0.9681656653258284,0.9386973180076628
NAIG,8,365;425;620;545;475;345;505;305,0.2625535974980112,0.9649808584146612,0.9512862616310892
Uniform,2,300;700,0.2757672911933825,0.9622722100514296,0.8149972632731255
Uniform,3,300;500;700,0.2572379138865162,0.969546051301746,0.9146141215106732
Uniform,4,300;435;565;700,0.2846596703669375,0.958635171006626,0.921729611384784
Uniform,6,300;380;460;540;620;700,0.234144126848677,0.9734812962972812,0.971538040503558
Uniform,8,300;355;415;470;530;585;645;700,0.2241978829867014,0.974560290920918,0.9906951286261632
